row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors,fold
0,tomo_003acc,-1.0,-1.0,-1.0,500,1912,1847,6.5,0,0
1,tomo_00e047,169.0,546.0,603.0,300,959,928,15.6,1,1
2,tomo_00e463,235.0,403.0,137.0,500,924,956,19.7,6,2
8,tomo_01a877,147.0,638.0,286.0,300,960,928,13.1,1,4
9,tomo_02862f,101.0,351.0,120.0,300,959,928,15.6,1,4
10,tomo_0308c5,-1.0,-1.0,-1.0,300,960,928,15.6,0,4
11,tomo_0333fa,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
12,tomo_033ebe,88.0,711.0,308.0,300,960,928,13.1,1,1
13,tomo_03437b,138.0,864.0,620.0,300,959,928,15.6,1,4
14,tomo_0363f2,50.0,574.0,392.0,300,960,928,13.1,1,3
15,tomo_040b80,-1.0,-1.0,-1.0,600,928,960,16.1,0,3
16,tomo_049310,-1.0,-1.0,-1.0,500,924,956,19.7,0,3
17,tomo_04d42b,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,2
18,tomo_05b39c,-1.0,-1.0,-1.0,800,928,960,13.1,0,4
19,tomo_05df8a,130.0,257.0,762.0,300,928,928,15.6,1,2
20,tomo_05f919,121.0,471.0,845.0,300,959,928,15.6,1,4
21,tomo_066095,-1.0,-1.0,-1.0,300,960,928,15.6,0,1
22,tomo_06e11e,-1.0,-1.0,-1.0,300,960,928,15.6,0,3
23,tomo_072a16,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
24,tomo_081a2d,152.0,314.0,651.0,300,959,928,15.6,1,1
25,tomo_08446f,235.0,740.0,54.0,500,924,956,19.7,2,2
27,tomo_087d64,-1.0,-1.0,-1.0,800,927,959,13.1,0,3
28,tomo_08a6d6,-1.0,-1.0,-1.0,800,928,960,13.1,0,2
29,tomo_08bf73,-1.0,-1.0,-1.0,800,928,960,16.1,0,2
30,tomo_098751,-1.0,-1.0,-1.0,500,924,956,16.1,0,4
31,tomo_0a180f,-1.0,-1.0,-1.0,800,928,960,13.1,0,0
32,tomo_0a8f05,52.0,587.0,575.0,300,928,928,13.1,1,4
33,tomo_0c2749,-1.0,-1.0,-1.0,300,960,928,15.6,0,3
34,tomo_0c3a99,125.0,645.0,227.0,300,959,928,15.6,1,4
35,tomo_0c3d78,-1.0,-1.0,-1.0,800,928,960,13.1,0,4
36,tomo_0d4c9e,-1.0,-1.0,-1.0,300,960,928,15.6,0,4
37,tomo_0da370,28.0,356.0,636.0,300,928,928,13.1,1,1
38,tomo_0de3ee,131.0,139.0,326.0,500,928,960,13.1,2,3
40,tomo_0e9757,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
41,tomo_0eb41e,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
42,tomo_0eb994,161.0,835.0,630.0,300,959,928,15.6,1,3
43,tomo_0f9df0,94.0,174.0,599.0,300,960,928,15.6,1,4
44,tomo_0fab19,159.0,516.0,681.0,300,959,928,15.6,1,4
45,tomo_0fe63f,197.0,362.0,265.0,300,960,928,13.1,1,0
46,tomo_101279,161.0,295.0,585.0,300,928,928,13.1,1,0
47,tomo_10a3bd,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,2
48,tomo_10c564,16.0,455.0,267.0,300,960,928,13.1,1,3
49,tomo_122a02,127.0,808.0,140.0,300,959,928,15.6,1,0
50,tomo_122c46,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
51,tomo_12f896,95.0,404.0,212.0,300,960,928,13.1,1,4
52,tomo_13484c,153.0,768.0,658.0,300,928,928,15.6,1,0
53,tomo_134bb0,55.0,252.0,173.0,300,959,928,15.6,1,0
54,tomo_136c8d,-1.0,-1.0,-1.0,500,924,956,19.7,0,3
55,tomo_138018,144.0,233.0,455.0,300,959,928,15.6,1,3
56,tomo_13973d,234.0,221.0,808.0,500,924,956,19.7,1,3
57,tomo_139d9e,153.0,611.0,172.0,300,959,928,15.6,1,1
58,tomo_1446aa,149.0,293.0,601.0,300,960,928,13.1,1,1
59,tomo_146de2,-1.0,-1.0,-1.0,500,924,956,16.1,0,1
60,tomo_16136a,141.0,566.0,443.0,300,960,928,16.8,1,0
61,tomo_161683,186.0,145.0,370.0,300,928,928,15.6,1,3
62,tomo_16efa8,183.0,379.0,752.0,300,960,928,13.1,1,0
63,tomo_16fce8,-1.0,-1.0,-1.0,300,960,928,15.6,0,1
64,tomo_17143f,-1.0,-1.0,-1.0,300,960,928,15.6,0,4
65,tomo_172f08,-1.0,-1.0,-1.0,800,928,960,13.1,0,4
66,tomo_180bfd,-1.0,-1.0,-1.0,300,960,928,16.8,0,3
67,tomo_183270,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
68,tomo_191bcb,149.0,417.0,500.0,300,960,928,13.1,1,4
69,tomo_19a313,67.0,598.0,300.0,300,960,928,13.1,1,3
70,tomo_19a4fd,175.0,583.0,468.0,300,960,928,16.8,1,0
71,tomo_1ab322,68.0,580.0,583.0,300,960,928,15.6,1,2
72,tomo_1af88d,24.0,306.0,619.0,300,960,928,13.1,1,1
73,tomo_1b82d1,223.0,716.0,677.0,500,924,956,19.7,4,2
77,tomo_1c2534,-1.0,-1.0,-1.0,800,927,959,13.1,0,0
78,tomo_1c38fd,103.0,668.0,281.0,300,960,928,15.6,1,2
79,tomo_1c75ac,-1.0,-1.0,-1.0,300,960,928,15.6,0,3
80,tomo_1cc887,143.0,667.0,192.0,300,928,928,15.6,1,1
81,tomo_1da097,34.0,579.0,419.0,500,928,960,13.1,2,2
83,tomo_1da0da,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
84,tomo_1dc5f9,-1.0,-1.0,-1.0,500,924,956,19.7,0,4
85,tomo_1e9980,-1.0,-1.0,-1.0,300,960,928,16.8,0,1
86,tomo_1efc28,123.0,636.0,175.0,300,959,928,15.6,1,3
87,tomo_1f0e78,112.0,797.0,264.0,300,959,928,15.6,1,1
88,tomo_1fb6a7,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
89,tomo_20a9ed,185.0,319.0,560.0,300,960,928,13.1,1,1
90,tomo_210371,263.0,584.0,595.0,300,960,928,15.6,1,1
91,tomo_221a47,166.0,324.0,563.0,300,960,928,13.1,1,0
92,tomo_221c8e,-1.0,-1.0,-1.0,500,928,928,16.8,0,3
93,tomo_225d8f,61.0,483.0,497.0,300,960,928,13.1,1,3
94,tomo_226cd8,365.0,528.0,607.0,500,928,960,13.1,10,3
104,tomo_22976c,-1.0,-1.0,-1.0,500,928,960,13.1,0,1
105,tomo_229f0a,-1.0,-1.0,-1.0,500,960,928,16.8,0,1
106,tomo_23a8e8,132.0,686.0,356.0,300,960,928,15.6,1,4
107,tomo_23c8a4,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
108,tomo_23ce49,152.0,248.0,532.0,300,959,928,15.6,1,3
109,tomo_247826,-1.0,-1.0,-1.0,500,960,928,16.8,0,2
110,tomo_24795a,144.0,702.0,703.0,300,960,928,15.6,1,0
111,tomo_2483bb,145.0,620.0,483.0,300,960,928,15.6,1,4
112,tomo_24a095,-1.0,-1.0,-1.0,800,928,960,13.1,0,3
113,tomo_24fda8,-1.0,-1.0,-1.0,300,960,928,15.6,0,0
114,tomo_256717,172.0,770.0,514.0,300,928,928,15.6,1,2
115,tomo_25780f,147.0,792.0,658.0,300,960,928,13.1,1,2
116,tomo_2645a0,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
117,tomo_278194,-1.0,-1.0,-1.0,300,960,928,19.2,0,0
118,tomo_285454,-1.0,-1.0,-1.0,300,956,924,16.1,0,3
119,tomo_285d15,137.0,391.0,611.0,300,960,928,13.1,1,0
120,tomo_288d4f,-1.0,-1.0,-1.0,300,960,928,16.8,0,1
121,tomo_28f9c1,-1.0,-1.0,-1.0,500,924,956,16.1,0,2
122,tomo_2a6091,185.0,492.0,635.0,300,960,928,13.1,1,4
123,tomo_2a6ca2,32.0,528.0,347.0,300,960,928,13.1,1,1
124,tomo_2a89bb,-1.0,-1.0,-1.0,800,928,960,16.1,0,3
125,tomo_2acf68,135.0,337.0,679.0,300,960,928,13.1,1,2
126,tomo_2aeb29,-1.0,-1.0,-1.0,800,927,959,13.1,0,4
127,tomo_2b3cdf,134.0,173.0,662.0,300,960,928,13.1,2,0
128,tomo_2b996c,-1.0,-1.0,-1.0,300,960,928,16.8,0,1
129,tomo_2bb588,97.0,709.0,611.0,300,960,928,13.1,1,2
130,tomo_2c607f,108.0,349.0,527.0,300,960,928,13.1,1,1
131,tomo_2c8ea2,85.0,176.0,395.0,300,959,928,15.6,1,2
132,tomo_2c9da1,207.0,258.0,617.0,300,960,928,13.1,1,3
133,tomo_2c9f35,-1.0,-1.0,-1.0,300,960,928,16.8,0,3
134,tomo_2cace2,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
135,tomo_2daaee,185.0,596.0,860.0,500,924,956,19.7,4,3
139,tomo_2dcd5c,125.0,414.0,519.0,300,960,928,13.1,1,2
140,tomo_2dd6bd,-1.0,-1.0,-1.0,300,928,928,16.8,0,3
141,tomo_2e1f4c,73.0,86.0,334.0,300,959,928,15.6,1,3
142,tomo_2f3261,143.0,458.0,695.0,300,960,928,13.1,1,4
143,tomo_2fb12d,-1.0,-1.0,-1.0,300,960,928,16.8,0,3
144,tomo_2fc82d,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
145,tomo_305c97,65.0,684.0,410.0,300,960,928,15.6,1,3
146,tomo_307f33,-1.0,-1.0,-1.0,800,928,960,16.1,0,2
147,tomo_30b580,142.0,392.0,575.0,300,928,928,13.1,1,2
148,tomo_30d4e5,175.0,706.0,228.0,300,959,928,15.6,1,1
149,tomo_317656,97.0,409.0,758.0,300,960,928,13.1,1,0
150,tomo_3183d2,168.0,136.0,475.0,300,959,928,15.6,1,4
151,tomo_319f79,195.0,243.0,380.0,500,928,960,13.1,1,0
152,tomo_3264bc,-1.0,-1.0,-1.0,300,928,928,16.8,0,3
153,tomo_32aaa7,156.0,526.0,641.0,300,960,928,13.1,1,3
154,tomo_331130,106.0,553.0,323.0,300,960,928,13.1,1,3
155,tomo_35ec84,-1.0,-1.0,-1.0,800,928,960,16.1,0,1
156,tomo_369cce,95.0,361.0,268.0,300,960,928,13.1,1,0
157,tomo_37076e,131.0,379.0,298.0,300,960,928,13.1,1,3
158,tomo_372690,-1.0,-1.0,-1.0,800,928,960,13.1,0,2
159,tomo_372a5c,179.0,730.0,406.0,300,959,928,15.6,1,4
160,tomo_374ca7,-1.0,-1.0,-1.0,800,928,960,13.1,0,0
161,tomo_375513,204.0,577.0,228.0,300,960,928,13.1,1,0
162,tomo_378f43,166.0,763.0,526.0,300,960,928,13.1,1,3
163,tomo_37c426,-1.0,-1.0,-1.0,600,960,928,15.6,0,1
164,tomo_37dd38,200.0,321.0,602.0,500,924,956,19.7,3,1
167,tomo_381add,219.0,625.0,862.0,500,924,956,19.7,2,2
169,tomo_385eb6,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
170,tomo_38c2a6,251.0,687.0,200.0,300,960,928,13.1,1,3
171,tomo_38d285,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
172,tomo_399bd9,126.0,509.0,366.0,300,928,928,13.1,1,3
173,tomo_39b15b,-1.0,-1.0,-1.0,500,924,956,16.1,0,4
174,tomo_3a0914,-1.0,-1.0,-1.0,800,928,960,16.1,0,0
175,tomo_3a3519,-1.0,-1.0,-1.0,300,960,928,15.6,0,1
176,tomo_3a6a9d,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,4
177,tomo_3a8480,223.0,460.0,896.0,500,924,956,19.7,2,4
179,tomo_3b1cc9,-1.0,-1.0,-1.0,300,960,928,13.1,0,0
180,tomo_3b7a22,-1.0,-1.0,-1.0,800,928,960,13.1,0,0
181,tomo_3b8291,-1.0,-1.0,-1.0,500,924,956,19.7,0,1
182,tomo_3b83c7,162.0,181.0,613.0,300,960,928,13.1,1,3
183,tomo_3c6038,99.0,324.0,156.0,300,959,928,15.6,1,2
184,tomo_3e6ead,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
185,tomo_3e7407,265.0,349.0,736.0,500,924,956,19.7,4,3
189,tomo_3e7783,186.0,531.0,617.0,300,960,928,13.1,1,0
190,tomo_3eb9c8,150.0,411.0,416.0,300,960,928,13.1,1,4
191,tomo_401341,166.0,612.0,722.0,300,960,928,13.1,1,2
192,tomo_4077d8,73.0,100.0,225.0,300,928,928,15.6,1,0
193,tomo_40b215,-1.0,-1.0,-1.0,500,924,956,16.1,0,0
194,tomo_4102f1,149.0,820.0,485.0,300,928,928,15.6,1,1
195,tomo_412d88,89.0,103.0,272.0,300,928,928,15.6,1,2
196,tomo_417e5f,216.0,447.0,556.0,300,960,928,15.6,1,0
197,tomo_41ea80,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,0
198,tomo_423d52,154.0,444.0,456.0,300,960,928,13.1,1,4
199,tomo_444829,112.0,786.0,641.0,300,928,928,13.1,1,1
200,tomo_4469a7,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
201,tomo_4555b6,190.0,403.0,853.0,500,924,956,19.7,1,3
202,tomo_455dcd,36.0,660.0,535.0,300,960,928,13.1,1,2
203,tomo_46250a,170.0,168.0,336.0,300,928,928,15.6,1,1
204,tomo_464108,-1.0,-1.0,-1.0,800,928,928,13.1,0,4
205,tomo_466489,-1.0,-1.0,-1.0,300,960,928,16.8,0,1
206,tomo_47ac94,-1.0,-1.0,-1.0,300,960,928,15.6,0,1
207,tomo_47c399,168.0,177.0,438.0,300,960,928,13.1,1,0
208,tomo_47d380,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
209,tomo_48dc93,208.0,712.0,483.0,500,924,956,19.7,2,3
211,tomo_4925ee,-1.0,-1.0,-1.0,300,960,928,19.2,0,4
212,tomo_493bea,170.0,380.0,136.0,300,960,928,13.1,1,1
213,tomo_49725c,150.0,624.0,739.0,300,959,928,15.6,2,3
215,tomo_499ee0,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
216,tomo_49f4ee,166.0,670.0,413.0,300,928,928,13.1,1,2
217,tomo_4b124b,111.0,505.0,452.0,300,960,928,13.1,1,1
218,tomo_4b59a2,156.0,491.0,738.0,300,960,928,13.1,1,0
219,tomo_4baff0,-1.0,-1.0,-1.0,500,924,956,16.1,0,3
220,tomo_4c1ca8,-1.0,-1.0,-1.0,800,928,960,13.1,0,2
221,tomo_4c2e4e,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
222,tomo_4d528f,-1.0,-1.0,-1.0,800,928,960,16.1,0,2
223,tomo_4e1b18,-1.0,-1.0,-1.0,500,924,956,19.7,0,3
224,tomo_4e38b8,209.0,753.0,370.0,300,959,928,15.6,1,2
225,tomo_4e3e37,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
226,tomo_4e41c2,-1.0,-1.0,-1.0,800,927,959,13.1,0,2
227,tomo_4e478f,117.0,467.0,156.0,300,959,928,15.6,1,1
228,tomo_4ed9de,173.0,724.0,717.0,300,960,928,15.6,1,0
229,tomo_4ee35e,157.0,670.0,300.0,300,959,928,15.6,1,0
230,tomo_4f379f,124.0,535.0,151.0,300,959,928,15.6,1,0
231,tomo_4f5a7b,-1.0,-1.0,-1.0,300,960,928,13.1,0,1
232,tomo_507b7a,451.0,561.0,366.0,500,928,960,13.1,2,3
234,tomo_50cbd9,-1.0,-1.0,-1.0,800,928,960,13.1,0,3
235,tomo_50f0bf,-1.0,-1.0,-1.0,500,924,956,16.1,0,0
236,tomo_510f4e,191.0,236.0,381.0,300,928,928,16.8,1,2
237,tomo_512f98,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
238,tomo_513010,128.0,150.0,499.0,300,960,928,13.1,1,1
239,tomo_516cdd,187.0,739.0,181.0,300,959,928,15.6,1,0
240,tomo_517f70,66.0,325.0,392.0,300,928,928,13.1,1,1
241,tomo_518a1f,108.0,564.0,683.0,300,960,928,15.6,1,2
242,tomo_51a47f,112.0,302.0,207.0,300,960,928,15.6,1,4
243,tomo_51a77e,-1.0,-1.0,-1.0,500,928,960,13.1,0,3
244,tomo_5308e8,-1.0,-1.0,-1.0,800,928,960,16.1,0,0
245,tomo_532d49,47.0,517.0,252.0,300,960,928,15.6,1,3
246,tomo_539259,152.0,503.0,613.0,300,960,928,16.8,1,0
247,tomo_53c71b,-1.0,-1.0,-1.0,800,928,960,13.1,0,3
248,tomo_53e048,190.0,666.0,542.0,300,960,928,13.1,1,1
249,tomo_54e1a7,-1.0,-1.0,-1.0,300,928,928,16.8,0,1
250,tomo_556257,123.0,210.0,434.0,300,959,928,15.6,1,2
251,tomo_568537,215.0,531.0,386.0,300,960,928,13.1,1,4
252,tomo_569981,-1.0,-1.0,-1.0,800,928,928,13.1,0,0
253,tomo_56b9a3,60.0,299.0,498.0,300,928,928,13.1,1,1
254,tomo_57592d,174.0,904.0,560.0,300,928,928,15.6,1,2
255,tomo_5764d6,92.0,679.0,580.0,500,928,960,13.1,1,3
256,tomo_57c814,168.0,359.0,402.0,300,928,928,13.1,1,2
257,tomo_5984bf,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
258,tomo_59b470,139.0,152.0,631.0,300,960,928,15.6,1,4
259,tomo_5b087f,159.0,252.0,373.0,300,959,928,15.6,1,0
260,tomo_5b34b2,112.0,613.0,233.0,300,960,928,13.1,1,2
261,tomo_5b359d,-1.0,-1.0,-1.0,800,928,960,13.1,0,4
262,tomo_5b8db4,-1.0,-1.0,-1.0,800,928,960,13.1,0,3
263,tomo_5ba0cf,217.0,627.0,315.0,500,924,956,19.7,2,2
265,tomo_5bb31c,-1.0,-1.0,-1.0,800,928,928,19.3,0,2
266,tomo_5d01e8,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,0
267,tomo_5d4c65,190.0,601.0,652.0,500,928,960,13.1,4,2
271,tomo_5d798e,121.0,349.0,402.0,300,960,928,15.6,1,4
272,tomo_5dd63d,135.0,823.0,772.0,300,960,928,13.1,1,1
273,tomo_5e2a91,267.0,574.0,284.0,300,960,928,15.6,1,4
274,tomo_5f1f0c,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
275,tomo_5f235a,119.0,656.0,372.0,300,960,928,13.1,1,4
276,tomo_5f34b3,-1.0,-1.0,-1.0,500,924,956,19.7,0,1
277,tomo_603e40,118.0,123.0,367.0,300,960,928,13.1,1,4
278,tomo_60d478,75.0,681.0,456.0,300,928,928,13.1,1,3
279,tomo_60ddbd,69.0,450.0,492.0,300,960,928,13.1,1,4
280,tomo_616f0b,149.0,874.0,609.0,300,959,928,15.6,1,3
281,tomo_61e947,-1.0,-1.0,-1.0,800,928,960,13.1,0,4
282,tomo_622ca9,88.0,348.0,565.0,300,928,928,13.1,1,4
283,tomo_62dbea,90.0,656.0,789.0,300,960,928,13.1,1,0
284,tomo_62eea8,111.0,469.0,334.0,300,960,928,13.1,2,4
285,tomo_6303f0,199.0,590.0,212.0,300,960,928,13.1,1,1
286,tomo_634b06,212.0,185.0,728.0,500,928,960,13.1,4,4
290,tomo_63e635,-1.0,-1.0,-1.0,800,928,960,13.1,0,2
291,tomo_640a74,3.0,563.0,673.0,300,960,928,13.1,1,3
292,tomo_643b20,168.0,387.0,596.0,300,960,928,13.1,1,4
293,tomo_646049,-1.0,-1.0,-1.0,300,960,928,15.6,0,4
294,tomo_6478e5,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
295,tomo_648adf,-1.0,-1.0,-1.0,400,960,928,15.6,0,2
296,tomo_651ec2,-1.0,-1.0,-1.0,500,924,956,16.1,0,2
297,tomo_651ecd,152.0,455.0,337.0,300,960,928,13.1,1,1
298,tomo_6521dc,-1.0,-1.0,-1.0,300,960,928,15.6,0,3
299,tomo_656915,202.0,794.0,167.0,500,924,956,19.7,1,1
300,tomo_6607ec,-1.0,-1.0,-1.0,300,960,928,15.6,0,2
301,tomo_66285d,75.0,438.0,640.0,300,928,928,13.1,1,2
302,tomo_672101,102.0,290.0,581.0,300,960,928,13.1,1,4
303,tomo_6733fa,133.0,323.0,751.0,300,960,928,13.1,1,0
304,tomo_675583,187.0,565.0,765.0,300,960,928,16.8,1,3
305,tomo_67565e,124.0,622.0,610.0,300,959,928,15.6,1,1
306,tomo_676744,252.0,589.0,491.0,300,960,928,16.8,1,4
307,tomo_67717e,137.0,280.0,561.0,300,959,928,15.6,2,1
309,tomo_67ff4e,-1.0,-1.0,-1.0,800,928,960,16.1,0,4
310,tomo_68e123,89.0,771.0,530.0,300,928,928,15.6,1,4
311,tomo_692081,-1.0,-1.0,-1.0,800,928,960,16.1,0,1
312,tomo_6943e6,-1.0,-1.0,-1.0,300,960,928,16.8,0,2
313,tomo_69d7c9,-1.0,-1.0,-1.0,300,960,928,16.8,0,0
314,tomo_6a6a3b,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
315,tomo_6a84b7,-1.0,-1.0,-1.0,800,928,960,13.1,0,1
316,tomo_6acb9e,80.0,562.0,831.0,300,960,928,13.1,1,4
317,tomo_6b1fd3,-1.0,-1.0,-1.0,500,924,956,19.7,0,2
318,tomo_6bb452,-1.0,-1.0,-1.0,800,928,960,13.1,0,3
319,tomo_6bc974,74.0,555.0,610.0,300,928,928,13.1,1,4
320,tomo_6c203d,165.0,308.0,280.0,300,960,928,13.1,1,1
321,tomo_6c4df3,-1.0,-1.0,-1.0,500,924,956,19.7,0,2
322,tomo_6c5a26,175.0,620.0,478.0,300,960,928,15.6,1,2
323,tomo_6cb0f0,144.0,657.0,273.0,300,960,928,13.1,1,0
324,tomo_6cf2df,436.0,261.0,514.0,500,928,960,13.1,2,0
326,tomo_6d22d1,50.0,797.0,362.0,300,960,928,13.1,1,1
327,tomo_6df2d6,105.0,788.0,537.0,300,960,928,13.1,1,4
328,tomo_6e196d,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,3
329,tomo_6e237a,119.0,796.0,663.0,300,959,928,15.6,1,0
330,tomo_6f0ee4,165.0,336.0,202.0,300,959,928,15.6,1,0
331,tomo_6f2c1f,216.0,608.0,328.0,300,960,928,13.1,1,0
332,tomo_6f83d4,123.0,424.0,293.0,300,960,928,13.1,1,2
333,tomo_7036ee,166.0,569.0,724.0,300,960,928,13.1,1,2
334,tomo_711fad,-1.0,-1.0,-1.0,500,924,956,19.7,0,1
335,tomo_71d2c0,-1.0,-1.0,-1.0,800,928,928,19.3,0,2
336,tomo_71ece1,149.0,424.0,416.0,300,928,928,13.1,1,4
337,tomo_72763e,154.0,592.0,875.0,300,959,928,15.6,1,2
338,tomo_72b187,-1.0,-1.0,-1.0,300,960,928,13.1,0,2
339,tomo_73173f,142.0,655.0,567.0,300,928,928,13.2,1,3
340,tomo_736dfa,-1.0,-1.0,-1.0,800,927,959,13.1,0,3
341,tomo_738500,200.0,389.0,437.0,300,960,928,15.6,1,2
342,tomo_746d88,-1.0,-1.0,-1.0,800,928,928,19.3,0,4
343,tomo_754447,201.0,207.0,459.0,500,924,956,19.7,2,3
345,tomo_7550f4,134.0,500.0,710.0,300,960,928,16.8,1,2
346,tomo_769126,95.0,114.0,566.0,300,960,928,13.1,1,1
347,tomo_76a42b,181.0,497.0,635.0,300,960,928,13.1,1,2
348,tomo_774aae,-1.0,-1.0,-1.0,800,928,960,16.1,0,2
349,tomo_78b03d,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
350,tomo_79756f,206.0,795.0,230.0,300,959,928,15.6,1,4
351,tomo_79a385,196.0,704.0,676.0,300,960,928,15.6,1,0
352,tomo_79d622,218.0,308.0,505.0,300,928,928,13.1,1,1
353,tomo_7a49bd,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,2
354,tomo_7a9b64,125.0,402.0,469.0,300,960,928,13.1,1,0
355,tomo_7b1ee3,182.0,651.0,626.0,300,960,928,13.1,1,4
356,tomo_7ca7c0,89.0,712.0,107.0,300,928,928,15.6,3,4
359,tomo_7cf523,-1.0,-1.0,-1.0,300,960,928,16.8,0,1
360,tomo_7dc063,-1.0,-1.0,-1.0,800,928,960,13.1,0,0
361,tomo_7dcfb8,-1.0,-1.0,-1.0,300,960,928,16.8,0,4
362,tomo_7e3494,-1.0,-1.0,-1.0,800,928,960,16.1,0,3
363,tomo_7eb641,-1.0,-1.0,-1.0,300,960,928,15.6,0,1
364,tomo_7f0184,228.0,331.0,350.0,300,960,928,13.1,1,3
365,tomo_7fa3b1,-1.0,-1.0,-1.0,300,960,928,19.2,0,3
366,tomo_7fbc49,0.0,556.0,359.0,300,960,928,13.1,1,3
367,tomo_806a8f,110.0,749.0,427.0,300,960,928,13.1,1,4
